NAICS,NAICS_TITLE
337200,Office Furniture (including Fixtures) Manufacturing
452900,Other General Merchandise Stores
236100,Residential Building Construction
483200,Inland Water Transportation
531200,Offices of Real Estate Agents and Brokers
624100,Individual and Family Services
621400,Outpatient Care Centers
445100,Grocery Stores
327000,Nonmetallic Mineral Product Manufacturing
316100,Leather and Hide Tanning and Finishing
518100,Internet Service Providers and Web Search Portals
712100,"Museums, Historical Sites, and Similar Institutions"
999200,State Government (OES Designation)
324100,Petroleum and Coal Products Manufacturing
721300,Rooming and Boarding Houses
325300,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing"
442200,Home Furnishings Stores
623100,Nursing Care Facilities
332100,Forging and Stamping
624300,Vocational Rehabilitation Services
458200,Shoe Retailers
813200,Grantmaking and Giving Services
336200,Motor Vehicle Body and Trailer Manufacturing
493100,Warehousing and Storage
312200,Tobacco Manufacturing
611700,Educational Support Services
423500,Metal and Mineral (except Petroleum) Merchant Wholesalers
532400,Commercial and Industrial Machinery and Equipment Rental and Leasing
337900,Other Furniture Related Product Manufacturing
488500,Freight Transportation Arrangement
523900,Other Financial Investment Activities
212300,Nonmetallic Mineral Mining and Quarrying
454300,Direct Selling Establishments
485100,Urban Transit Systems
561500,Travel Arrangement and Reservation Services
522200,Nondepository Credit Intermediation
321900,Other Wood Product Manufacturing
611200,Junior Colleges
541600,"Management, Scientific, and Technical Consulting Services"
333300,Commercial and Service Industry Machinery Manufacturing
459900,Other Miscellaneous Retailers
453100,Florists
457200,Fuel Dealers
327200,Glass and Glass Product Manufacturing
335200,Household Appliance Manufacturing
562200,Waste Treatment and Disposal
238200,Building Equipment Contractors
623300,Community Care Facilities for the Elderly
484100,General Freight Trucking
331100,Iron and Steel Mills and Ferroalloy Manufacturing
449200,Electronics and Appliance Retailers
333500,Metalworking Machinery Manufacturing
513200,Software Publishers
334500,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing"
445300,"Beer, Wine, and Liquor Retailers"
481200,Nonscheduled Air Transportation
517100,Wired Telecommunications Carriers
812200,Death Care Services
315100,Apparel Knitting Mills
332800,"Coating, Engraving, Heat Treating, and Allied Activities"
336900,Other Transportation Equipment Manufacturing
441200,Other Motor Vehicle Dealers
325500,"Paint, Coating, and Adhesive Manufacturing"
314100,Textile Furnishings Mills
424200,Drugs and Druggists' Sundries Merchant Wholesalers
561700,Services to Buildings and Dwellings
533100,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)
311700,Seafood Product Preparation and Packaging
813900,"Business, Professional, Labor, Political, and Similar Organizations"
621600,Home Health Care Services
332300,Architectural and Structural Metals Manufacturing
722500,Restaurants and Other Eating Places
453300,Used Merchandise Stores
622100,General Medical and Surgical Hospitals
444100,Building Material and Supplies Dealers
323100,Printing and Related Support Activities
452100,Department Stores
311200,Grain and Oilseed Milling
455000,General Merchandise Retailers
711100,Performing Arts Companies
525100,Insurance and Employee Benefit Funds
424700,Petroleum and Petroleum Products Merchant Wholesalers
492100,Couriers
541100,Legal Services
339100,Medical Equipment and Supplies Manufacturing
443100,Electronics and Appliance Stores
621100,Offices of Physicians
622300,Specialty (except Psychiatric and Substance Abuse) Hospitals
334200,Communications Equipment Manufacturing
491100,Postal Service
238900,Other Specialty Trade Contractors
451100,"Sporting Goods, Hobby, and Musical Instrument Stores"
517300,Telecommunications Resellers
524100,Insurance Carriers
485300,Taxi and Limousine Service
311900,Other Food Manufacturing
423700,"Hardware, and Plumbing and Heating Equipment and Supplies Merchant Wholesalers"
332500,Hardware Manufacturing
516100,Internet Publishing and Broadcasting
813400,Civic and Social Organizations
448200,Shoe Stores
541300,"Architectural, Engineering, and Related Services"
335900,Other Electrical Equipment and Component Manufacturing
488200,Support Activities for Rail Transportation
459100,"Sporting Goods, Hobby, and Musical Instrument Retailers"
336400,Aerospace Product and Parts Manufacturing
611400,Business Schools and Computer and Management Training
113300,Logging
313100,"Fiber, Yarn, and Thread Mills"
512200,Sound Recording Industries
221200,Natural Gas Distribution
327900,Other Nonmetallic Mineral Product Manufacturing
722200,Limited-Service Eating Places
532100,Automotive Equipment Rental and Leasing
423200,Furniture and Home Furnishing Merchant Wholesalers
562900,Remediation and Other Waste Management Services
561200,Facilities Support Services
711300,"Promoters of Performing Arts, Sports, and Similar Events"
424900,Miscellaneous Nondurable Goods Merchant Wholesalers
237200,Land Subdivision
331300,Alumina and Aluminum Production and Processing
811200,Electronic and Precision Equipment Repair and Maintenance
483100,"Deep Sea, Coastal, and Great Lakes Water Transportation"
326200,Rubber Product Manufacturing
322100,"Pulp, Paper, and Paperboard Mills"
541800,Advertising and Related Services
812900,Other Personal Services
485500,Charter Bus Industry
442100,Furniture Stores
523100,Securities and Commodity Contracts Intermediation and Brokerage
311400,Fruit and Vegetable Preserving and Specialty Food Manufacturing
611600,Other Schools and Instruction
312100,Beverage Manufacturing
711500,"Independent Artists, Writers, and Performers"
237900,Other Heavy and Civil Engineering Construction
561400,Business Support Services
424400,Grocery and Related Product Merchant Wholesalers
721200,RV (Recreational Vehicle) Parks and Recreational Camps
515100,Radio and Television Broadcasting
531100,Lessors of Real Estate
487200,"Scenic and Sightseeing Transportation, Water"
713200,Gambling Industries
517500,Cable and Other Program Distribution
337100,Household and Institutional Furniture and Kitchen Cabinet Manufacturing
488400,Support Activities for Road Transportation
423900,Miscellaneous Durable Goods Merchant Wholesalers
327400,Lime and Gypsum Product Manufacturing
321100,Sawmills and Wood Preservation
519200,"Web Search Portals, Libraries, Archives, and Other Information Services"
236200,Nonresidential Building Construction
336600,Ship and Boat Building
488900,Other Support Activities for Transportation
212200,Metal Ore Mining
482100,Rail Transportation
532300,General Rental Centers
621300,Offices of Other Health Practitioners
561900,Other Support Services
458100,Clothing and Clothing Accessories Retailers
331500,Foundries
459300,Florists
333200,Industrial Machinery Manufacturing
511200,Software Publishers
325200,"Resin, Synthetic Rubber, and Artificial Synthetic Fibers and Filaments Manufacturing"
624200,"Community Food and Housing, and Emergency and Other Relief Services"
115200,Support Activities for Animal Production
